1.000E-02 = radius(micron) ionized PAH/graphitic solid             
w(micron)   Q_ext     Q_abs     Q_sca    g=<cos>
1.000E+03 1.549E-06 1.549E-06 4.153E-17 0.00E+00
9.886E+02 1.585E-06 1.585E-06 4.349E-17 0.00E+00
9.772E+02 1.621E-06 1.621E-06 4.554E-17 0.00E+00
9.661E+02 1.658E-06 1.658E-06 4.768E-17 0.00E+00
9.550E+02 1.696E-06 1.696E-06 4.993E-17 0.00E+00
9.441E+02 1.735E-06 1.735E-06 5.228E-17 0.00E+00
9.333E+02 1.775E-06 1.775E-06 5.474E-17 0.00E+00
9.226E+02 1.816E-06 1.816E-06 5.732E-17 0.00E+00
9.120E+02 1.857E-06 1.857E-06 6.002E-17 0.00E+00
9.016E+02 1.900E-06 1.900E-06 6.285E-17 0.00E+00
8.913E+02 1.943E-06 1.943E-06 6.581E-17 0.00E+00
8.810E+02 1.988E-06 1.988E-06 6.891E-17 0.00E+00
8.710E+02 2.033E-06 2.033E-06 7.216E-17 0.00E+00
8.610E+02 2.080E-06 2.080E-06 7.556E-17 0.00E+00
8.511E+02 2.127E-06 2.127E-06 7.911E-17 0.00E+00
8.414E+02 2.176E-06 2.176E-06 8.284E-17 0.00E+00
8.318E+02 2.226E-06 2.226E-06 8.674E-17 0.00E+00
8.222E+02 2.277E-06 2.277E-06 9.083E-17 0.00E+00
8.128E+02 2.329E-06 2.329E-06 9.511E-17 0.00E+00
8.035E+02 2.382E-06 2.382E-06 9.959E-17 0.00E+00
7.943E+02 2.436E-06 2.436E-06 1.043E-16 0.00E+00
7.852E+02 2.492E-06 2.492E-06 1.092E-16 0.00E+00
7.762E+02 2.549E-06 2.549E-06 1.143E-16 0.00E+00
7.674E+02 2.607E-06 2.607E-06 1.197E-16 0.00E+00
7.586E+02 2.666E-06 2.666E-06 1.254E-16 0.00E+00
7.499E+02 2.727E-06 2.727E-06 1.313E-16 0.00E+00
7.413E+02 2.789E-06 2.789E-06 1.374E-16 0.00E+00
7.328E+02 2.853E-06 2.853E-06 1.439E-16 0.00E+00
7.244E+02 2.918E-06 2.918E-06 1.507E-16 0.00E+00
7.161E+02 2.984E-06 2.984E-06 1.578E-16 0.00E+00
7.079E+02 3.052E-06 3.052E-06 1.652E-16 0.00E+00
6.998E+02 3.121E-06 3.121E-06 1.730E-16 0.00E+00
6.918E+02 3.192E-06 3.192E-06 1.812E-16 0.00E+00
6.839E+02 3.265E-06 3.265E-06 1.897E-16 0.00E+00
6.761E+02 3.339E-06 3.339E-06 1.986E-16 0.00E+00
6.683E+02 3.415E-06 3.415E-06 2.080E-16 0.00E+00
6.607E+02 3.492E-06 3.492E-06 2.178E-16 0.00E+00
6.531E+02 3.571E-06 3.571E-06 2.280E-16 0.00E+00
6.457E+02 3.652E-06 3.652E-06 2.388E-16 0.00E+00
6.383E+02 3.735E-06 3.735E-06 2.500E-16 0.00E+00
6.310E+02 3.820E-06 3.820E-06 2.618E-16 0.00E+00
6.237E+02 3.906E-06 3.906E-06 2.741E-16 0.00E+00
6.166E+02 3.995E-06 3.995E-06 2.870E-16 0.00E+00
6.095E+02 4.085E-06 4.085E-06 3.006E-16 0.00E+00
6.026E+02 4.177E-06 4.177E-06 3.147E-16 0.00E+00
5.957E+02 4.272E-06 4.272E-06 3.295E-16 0.00E+00
5.888E+02 4.368E-06 4.368E-06 3.451E-16 0.00E+00
5.821E+02 4.467E-06 4.467E-06 3.613E-16 0.00E+00
5.754E+02 4.568E-06 4.568E-06 3.783E-16 0.00E+00
5.689E+02 4.671E-06 4.671E-06 3.961E-16 0.00E+00
5.623E+02 4.777E-06 4.777E-06 4.148E-16 0.00E+00
5.559E+02 4.884E-06 4.884E-06 4.343E-16 0.00E+00
5.495E+02 4.995E-06 4.995E-06 4.548E-16 0.00E+00
5.433E+02 5.107E-06 5.107E-06 4.762E-16 0.00E+00
5.370E+02 5.222E-06 5.222E-06 4.986E-16 0.00E+00
5.309E+02 5.340E-06 5.340E-06 5.221E-16 0.00E+00
5.248E+02 5.460E-06 5.460E-06 5.467E-16 0.00E+00
5.188E+02 5.583E-06 5.583E-06 5.724E-16 0.00E+00
5.129E+02 5.709E-06 5.709E-06 5.994E-16 0.00E+00
5.070E+02 5.837E-06 5.837E-06 6.276E-16 0.00E+00
5.012E+02 5.968E-06 5.968E-06 6.571E-16 0.00E+00
4.955E+02 6.102E-06 6.102E-06 6.881E-16 0.00E+00
4.898E+02 6.239E-06 6.239E-06 7.205E-16 0.00E+00
4.842E+02 6.380E-06 6.380E-06 7.544E-16 0.00E+00
4.786E+02 6.523E-06 6.523E-06 7.899E-16 0.00E+00
4.732E+02 6.669E-06 6.669E-06 8.271E-16 0.00E+00
4.677E+02 6.819E-06 6.819E-06 8.661E-16 0.00E+00
4.624E+02 6.972E-06 6.972E-06 9.069E-16 0.00E+00
4.571E+02 7.128E-06 7.128E-06 9.496E-16 0.00E+00
4.519E+02 7.288E-06 7.288E-06 9.943E-16 0.00E+00
4.467E+02 7.451E-06 7.451E-06 1.041E-15 0.00E+00
4.416E+02 7.618E-06 7.618E-06 1.090E-15 0.00E+00
4.365E+02 7.788E-06 7.788E-06 1.141E-15 0.00E+00
4.315E+02 7.963E-06 7.963E-06 1.195E-15 0.00E+00
4.266E+02 8.141E-06 8.141E-06 1.251E-15 0.00E+00
4.217E+02 8.323E-06 8.323E-06 1.310E-15 0.00E+00
4.169E+02 8.509E-06 8.509E-06 1.372E-15 0.00E+00
4.121E+02 8.699E-06 8.699E-06 1.437E-15 0.00E+00
4.074E+02 8.894E-06 8.894E-06 1.504E-15 0.00E+00
4.027E+02 9.092E-06 9.092E-06 1.575E-15 0.00E+00
3.981E+02 9.296E-06 9.296E-06 1.649E-15 0.00E+00
3.936E+02 9.503E-06 9.503E-06 1.727E-15 0.00E+00
3.890E+02 9.716E-06 9.716E-06 1.808E-15 0.00E+00
3.846E+02 9.933E-06 9.933E-06 1.893E-15 0.00E+00
3.802E+02 1.015E-05 1.015E-05 1.982E-15 0.00E+00
3.758E+02 1.038E-05 1.038E-05 2.076E-15 0.00E+00
3.715E+02 1.061E-05 1.061E-05 2.173E-15 0.00E+00
3.673E+02 1.085E-05 1.085E-05 2.276E-15 0.00E+00
3.631E+02 1.109E-05 1.109E-05 2.383E-15 0.00E+00
3.589E+02 1.134E-05 1.134E-05 2.495E-15 0.00E+00
3.548E+02 1.159E-05 1.159E-05 2.613E-15 0.00E+00
3.508E+02 1.185E-05 1.185E-05 2.735E-15 0.00E+00
3.467E+02 1.212E-05 1.212E-05 2.864E-15 0.00E+00
3.428E+02 1.239E-05 1.239E-05 2.999E-15 0.00E+00
3.388E+02 1.266E-05 1.266E-05 3.140E-15 0.00E+00
3.350E+02 1.294E-05 1.294E-05 3.288E-15 0.00E+00
3.311E+02 1.323E-05 1.323E-05 3.443E-15 0.00E+00
3.273E+02 1.353E-05 1.353E-05 3.605E-15 0.00E+00
3.236E+02 1.383E-05 1.383E-05 3.775E-15 0.00E+00
3.199E+02 1.414E-05 1.414E-05 3.952E-15 0.00E+00
3.162E+02 1.445E-05 1.445E-05 4.138E-15 0.00E+00
3.126E+02 1.478E-05 1.478E-05 4.333E-15 0.00E+00
3.090E+02 1.511E-05 1.511E-05 4.537E-15 0.00E+00
3.055E+02 1.544E-05 1.544E-05 4.751E-15 0.00E+00
3.020E+02 1.579E-05 1.579E-05 4.974E-15 0.00E+00
2.985E+02 1.614E-05 1.614E-05 5.208E-15 0.00E+00
2.951E+02 1.650E-05 1.650E-05 5.454E-15 0.00E+00
2.917E+02 1.687E-05 1.687E-05 5.710E-15 0.00E+00
2.884E+02 1.724E-05 1.724E-05 5.979E-15 0.00E+00
2.851E+02 1.763E-05 1.763E-05 6.260E-15 0.00E+00
2.818E+02 1.802E-05 1.802E-05 6.555E-15 0.00E+00
2.786E+02 1.843E-05 1.843E-05 6.864E-15 0.00E+00
2.754E+02 1.884E-05 1.884E-05 7.187E-15 0.00E+00
2.723E+02 1.926E-05 1.926E-05 7.525E-15 0.00E+00
2.692E+02 1.969E-05 1.969E-05 7.879E-15 0.00E+00
2.661E+02 2.013E-05 2.013E-05 8.250E-15 0.00E+00
2.630E+02 2.058E-05 2.058E-05 8.638E-15 0.00E+00
2.600E+02 2.104E-05 2.104E-05 9.045E-15 0.00E+00
2.570E+02 2.151E-05 2.151E-05 9.470E-15 0.00E+00
2.541E+02 2.199E-05 2.199E-05 9.916E-15 0.00E+00
2.512E+02 2.248E-05 2.248E-05 1.038E-14 0.00E+00
2.483E+02 2.299E-05 2.299E-05 1.087E-14 0.00E+00
2.455E+02 2.350E-05 2.350E-05 1.138E-14 0.00E+00
2.427E+02 2.403E-05 2.403E-05 1.192E-14 0.00E+00
2.399E+02 2.457E-05 2.457E-05 1.248E-14 0.00E+00
2.371E+02 2.512E-05 2.512E-05 1.307E-14 0.00E+00
2.344E+02 2.568E-05 2.568E-05 1.368E-14 0.00E+00
2.317E+02 2.626E-05 2.626E-05 1.433E-14 0.00E+00
2.291E+02 2.685E-05 2.685E-05 1.500E-14 0.00E+00
2.265E+02 2.745E-05 2.745E-05 1.571E-14 0.00E+00
2.239E+02 2.807E-05 2.807E-05 1.645E-14 0.00E+00
2.213E+02 2.870E-05 2.870E-05 1.722E-14 0.00E+00
2.188E+02 2.935E-05 2.935E-05 1.803E-14 0.00E+00
2.163E+02 3.001E-05 3.001E-05 1.888E-14 0.00E+00
2.138E+02 3.068E-05 3.068E-05 1.977E-14 0.00E+00
2.113E+02 3.138E-05 3.138E-05 2.070E-14 0.00E+00
2.089E+02 3.208E-05 3.208E-05 2.167E-14 0.00E+00
2.065E+02 3.281E-05 3.281E-05 2.269E-14 0.00E+00
2.042E+02 3.355E-05 3.355E-05 2.376E-14 0.00E+00
2.018E+02 3.431E-05 3.431E-05 2.488E-14 0.00E+00
1.995E+02 3.508E-05 3.508E-05 2.605E-14 0.00E+00
1.972E+02 3.588E-05 3.588E-05 2.727E-14 0.00E+00
1.950E+02 3.669E-05 3.669E-05 2.856E-14 0.00E+00
1.928E+02 3.752E-05 3.752E-05 2.990E-14 0.00E+00
1.905E+02 3.837E-05 3.837E-05 3.131E-14 0.00E+00
1.884E+02 3.924E-05 3.924E-05 3.278E-14 0.00E+00
1.862E+02 4.013E-05 4.013E-05 3.432E-14 0.00E+00
1.841E+02 4.104E-05 4.104E-05 3.594E-14 0.00E+00
1.820E+02 4.197E-05 4.197E-05 3.763E-14 0.00E+00
1.799E+02 4.293E-05 4.293E-05 3.940E-14 0.00E+00
1.778E+02 4.391E-05 4.391E-05 4.125E-14 0.00E+00
1.758E+02 4.491E-05 4.491E-05 4.319E-14 0.00E+00
1.738E+02 4.593E-05 4.593E-05 4.523E-14 0.00E+00
1.718E+02 4.698E-05 4.698E-05 4.735E-14 0.00E+00
1.698E+02 4.805E-05 4.805E-05 4.958E-14 0.00E+00
1.679E+02 4.915E-05 4.915E-05 5.191E-14 0.00E+00
1.660E+02 5.027E-05 5.027E-05 5.436E-14 0.00E+00
1.641E+02 5.142E-05 5.142E-05 5.691E-14 0.00E+00
1.622E+02 5.260E-05 5.260E-05 5.959E-14 0.00E+00
1.603E+02 5.381E-05 5.381E-05 6.239E-14 0.00E+00
1.585E+02 5.504E-05 5.504E-05 6.533E-14 0.00E+00
1.567E+02 5.631E-05 5.631E-05 6.840E-14 0.00E+00
1.549E+02 5.760E-05 5.760E-05 7.162E-14 0.00E+00
1.531E+02 5.893E-05 5.893E-05 7.499E-14 0.00E+00
1.514E+02 6.028E-05 6.028E-05 7.852E-14 0.00E+00
1.496E+02 6.167E-05 6.167E-05 8.221E-14 0.00E+00
1.479E+02 6.310E-05 6.310E-05 8.608E-14 0.00E+00
1.462E+02 6.455E-05 6.455E-05 9.012E-14 0.00E+00
1.445E+02 6.604E-05 6.604E-05 9.436E-14 0.00E+00
1.429E+02 6.757E-05 6.757E-05 9.880E-14 0.00E+00
1.413E+02 6.914E-05 6.914E-05 1.034E-13 0.00E+00
1.396E+02 7.074E-05 7.074E-05 1.083E-13 0.00E+00
1.380E+02 7.238E-05 7.238E-05 1.134E-13 0.00E+00
1.365E+02 7.406E-05 7.406E-05 1.187E-13 0.00E+00
1.349E+02 7.578E-05 7.578E-05 1.243E-13 0.00E+00
1.334E+02 7.755E-05 7.755E-05 1.302E-13 0.00E+00
1.318E+02 7.935E-05 7.935E-05 1.363E-13 0.00E+00
